Country, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002
Norway, 7.84, 7.82, 7.63, 7.6, 8.79, 7.75, 6.52, 6.52, −10.00, 0.00, 0.00, 1.50, 0.75, 2.00, 0.50, 0.50, 0.50, 0.50
Finland, 7.93, 7.90, 10.26, 8.92, 8.59, 7.52, 6.40, 6.38, −10.00, 0.00, 0.00, 2.00, 1.50, 0.50, 0.50, 0.50, 0.50, 0.50
Denmark, 8.13, 9.87, 13.99, 10.36, 8.89, 8.24, 7.43, 7.08, −5.67, 2.50, 0.00, 3.50, 2.00, 5.00, 0.50, 0.50, 1.00, 3.00
Sweden, 9.25, 8.31, 8.31, 8.27, 12.33, 9.47, 8.98, 9.23, −5.50, 0.00, 0.00, 3.00, 1.50, 4.00, 2.00, 2.00, 1.50, 1.50
Netherlands, 9.96, 8.63, 10.01, 11.28, 8.76, 9.22, 6.46, 6.48, −9.00, 0.00, 1.00, 4.00, 3.50, 0.50, 0.50, 0.50, 0.50, 0.50
Jamaica, 10.51, 11.13, 11.33, 12.73, 12.45, 11.18, 10.90, 9.88, −3.00, 7.67, 4.75, 4.88, 8.63, 5.50, 7.50, 4.17, 3.33, null
Costa Rica, 10.53, 12.24, 14.01, 11.93, 11.10, 12.26, 12.23, 12.08, −2.25, 8.08, 8.00, 5.10, 6.50, 6.67, 8.50, 7.63, 3.83, 4.25
Switzerland, 10.62, 10.52, 11.27, 12.13, 11.76, 13.85, 10.47, 9.94, −6.20, 0.00, 1.00, 3.00, 3.00, 2.50, 0.50, 0.50, 2.50, 4.25
New Zealand, 10.69, 10.75, 13.62, 13.98, 10.01, 10.06, 8.55, 8.38, −5.33, 1.50, 3.00, 3.00, 4.17, 5.00, 2.00, 0.67, 2.83, null
Portugal, 11.83, 12.63, 14.17, 15.77, 17.27, 17.11, 17.73, 16.75, 5.33, 12.36, 8.00, 4.00, 2.00, 3.00, 4.83, 4.50, 5.17, 1.50
Germany, 12.16, 14.60, 14.39, 14.97, 14.80, 11.47, 10.23, 10.24, −3.00, 4.25, 3.50, 4.50, 5.75, 5.50, 4.00, 2.00, 1.33, 1.50
Belgium, 12.57, 12.07, 13.16, 12.75, 14.18, 11.98, 12.80, 12.94, −2.00, 4.00, 2.50, 3.00, 1.50, 4.00, 4.00, 4.00, 1.17, 3.50
Ireland, 12.60, 15, 14.59, 14.08, 12.40, 11.20, 10.87, 10.06, −4.00, 2.00, 0.00, 2.00, 2.00, 0.50, 0.50, 0.50, 2.83, 1.00
Estonia, 12.61, 12.27, 14.08, 13.55, 14.31, 11.19, 9.63, 9.26, −9.00, 2.00, 0.50, 2.00, 1.00, 2.00, 1.50, 2.00, 2.50, null
Iceland, 15.12, 14.71, 14.10, 13.03, 15.30, 13.87, 8.50, 8.49, −7.00, 0.00, 2.00, 1.50, 0.75, 0.50, 0.50, 0.50, 0.50, 0.50
Canada, 15.29, 15.69, 15.28, 16.53, 15.26, 10.99, 10.99, 12.69, −5.67, 7.00, 3.70, 3.33, 4.88, 4.50, 4.50, 3.33, 1.83, 0.75
Luxembourg, 15.46, 15.66, 14.72, 14.72, 14.43, 13.61, 6.70, 6.68, −7.00, 4.00, 4.00, 1.50, null, null, null, null, null, null
Austria, 15.78, 15.33, 14.04, 13.47, 13.18, 10.85, 10.01, 9.40, −8.00, 0.50, 3.00, 3.50, 4.25, 4.50, 2.50, 3.25, 2.75, 7.50
Uruguay, 15.79, 16.06, 15.56, 17.43, 15.88, 15.94, 16.08, 15.92, 4.25, 11.75, 7.63, 8.33, 11.75, 13.75, 9.75, 10.00, 4.00, 6.00
Suriname, 17.50, 16.38, 16.44, 16.07, 16.70, 18.20, 18.20, 18.19, −1.00, 11.50, 10.60, 6.00, null, null, null, null, null, null
Samoa, 18.25, 18.25, 16.69, 16.41, 18.80, 22.32, 22.02, 23.84, 17.00, 33.00, null, null, null, null, null, null, null, null
Latvia, 18.56, 19.53, 19.63, 18.62, 17.38, 18.12, 21.10, 22.89, 15.00, 8.50, 3.00, 3.00, 3.50, 3.00, 2.50, 1.00, 2.25, null
Namibia, 19.25, 18.95, 20.24, 17.08, 15.15, 12.50, 12.50, 12.50, −2.00, 7.00, 9.00, 5.50, 8.50, 6.00, 5.50, 10.00, 11.00, 8.00
Liechtenstein, 19.52, 20.49, 20.49, 20.31, 18.36, 17.67, 7.02, 7.35, null, null, null, null, null, null, null, null, null, null
Cape Verde, 20.15, 19.81, 20.39, 18.02, 19.82, 20.69, 14.32, 14.33, −6.00, 8.00, 11.00, 8.00, 14.00, 11.50, 6.00, 8.75, 8.25, 13.75
Australia, 20.21, 16.55, 15.46, 16.02, 17.84, 17.03, 16.91, 15.24, 4.00, 5.38, 3.13, 6.25, 8.79, 9.00, 6.50, 9.50, 9.25, 3.50
Cyprus, 20.45, 21.74, 19.85, 19.79, 18.26, 16.52, 14.45, 13.83, −3.00, 13.40, 5.50, 7.50, 14.00, 7.50, 5.50, 22.00, 20.83, null
Lithuania, 21.19, 22.06, 22.20, 21.37, 19.95, 18.80, 19.20, 18.24, 4.00, 2.50, 2.25, 4.00, 7.00, 6.50, 4.50, 3.00, 2.83, null
Spain, 22.16, 21.99, 20.51, 18.69, 19.92, 19.95, 20.63, 20.50, 9.75, 12.25, 11.00, 8.00, 10.25, 10.00, 8.33, 9.00, 7.67, 7.75
Ghana, 22.26, 20.81, 18.41, 17.95, 17.95, 15.50, 16.29, 17.27, 11.00, 8.00, 6.00, 7.50, 9.00, 8.50, 15.00, 13.50, 8.75, 23.00
South Africa, 22.41, 22.19, 20.39, 20.12, 21.92, 22.06, 23.19, 24.56, 12.00, 12.00, 8.50, 8.00, 13.00, 11.25, 6.50, 5.00, 3.33, 7.50
Slovenia, 22.64, 22.31, 21.69, 21.7, 22.26, 20.55, 20.38, 20.49, 9.14, 13.44, 9.50, 7.33, 6.50, 3.00, 1.00, 2.25, 3.00, 4.00
Slovakia, 22.67, 23.58, 20.26, 15.51, 13.26, 11.66, 11.39, 13.25, 0.00, 11.50, 11.00, 3.00, 1.00, 2.50, 0.75, 0.50, 2.50, null
France, 22.92, 22.21, 21.87, 22.24, 23.83, 21.15, 21.89, 21.60, 9.50, 13.38, 10.67, 7.67, 9.75, 9.00, 6.25, 3.50, 4.17, 3.25
United Kingdom, 22.93, 22.23, 23.25, 22.26, 21.70, 20.00, 19.93, 16.89, 2.00, 6.00, 4.00, 5.50, 8.25, 6.50, 5.17, 6.00, 4.25, 6.00
Trinidad and, 23.22, 24.74, 22.79, 20.62, 23.29, 22.39, 23.28, 23.12, 15.00, 8.50, 7.00, 6.13, 5.00, 5.00, 2.00, 2.00, 1.00, null
Andorra, 23.23, 24.63, 22.21, 21.03, 19.87, 19.87, 6.82, 6.82, null, null, null, null, null, null, null, null, null, null
Burkina Faso, 23.47, 24.53, 23.33, 23.85, 22.66, 23.79, 24.45, 23.70, 23.33, 15.00, 15.00, 13.00, 21.50, 16.00, 19.00, 16.25, 18.00, 27.75
Botswana, 23.56, 25.09, 25.29, 24.93, 22.91, 22.91, 22.91, 22.91, 12.00, 17.50, 15.50, 14.00, 23.50, 13.00, 14.00, 11.50, 13.00, null
Czech Republic, 23.57, 24.89, 21.89, 16.91, 16.66, 11.62, 10.07, 10.17, −5.00, 7.50, 5.00, 4.00, 4.00, 0.75, 1.00, 3.50, 2.50, 11.25
Italy, 23.69, 24.98, 24.12, 26.26, 28.93, 27.94, 23.75, 26.11, 19.67, 15.00, 12.14, 8.42, 11.25, 9.90, 8.67, 9.00, 9.75, 11.00
South Korea, 23.70, 24.94, 23.51, 27.61, 28.58, 26.55, 25.66, 24.48, 12.67, 13.33, 15.67, 9.00, 12.13, 7.75, 7.50, 11.13, 9.17, 10.50
Taiwan, 23.76, 24.98, 23.36, 24.37, 24.37, 24.83, 23.82, 23.82, 13.00, 14.50, 15.08, 8.00, 10.00, 10.50, 12.25, 14.25, 12.00, 9.00
United States, 23.85, 25.69, 23.73, 23.88, 22.49, 24.41, 23.49, 18.22, 14.00, 6.75, 4.00, 8.00, 14.50, 13.00, 9.50, 4.00, 6.00, 4.75
Papua New, 23.93, 24.70, 26.19, 25.07, 25.81, 25.87, 23.46, 22.97, 9.00, 13.33, 14.70, null, null, null, null, null, null, null
Senegal, 23.99, 25.81, 25.61, 26.72, 27.99, 27.77, 26.68, 26.19, 26.00, 25.00, 22.00, 19.00, 25.00, 17.50, 19.00, 21.50, 14.50, 14.00
Romania, 25.91, 25.67, 23.65, 24.46, 24.29, 24.90, 23.48, 23.05, 14.00, 16.00, 12.50, 9.00, 12.75, 14.00, 16.17, 17.83, 11.50, 13.25
Guyana, 26.63, 26.63, 26.25, 26.8, 27.07, 27.21, 27.08, 27.08, 19.50, 16.63, 10.50, 19.75, null, null, null, null, null, null
Tonga, 27.27, 25.41, 25.68, 24.97, 21.24, 23.37, 26.70, 26.70, 21.00, 23.75, null, 18.00, 38.25, 13.00, 14.50, 38.17, null, null
Chile, 27.31, 25.65, 22.69, 20.53, 19.23, 23.00, 25.80, 26.24, 29.00, 10.50, 10.50, 11.50, 12.13, 11.63, 11.75, 10.00, 6.83, 6.50
Fiji, 27.41, 27.18, 26.55, 28.64, 29.37, 31.28, 32.57, 32.69, 55.00, 52.75, 60.00, 16.00, 33.50, 14.00, 14.00, 16.00, 11.50, null
Belize, 27.50, 27.50, 24.55, 23.43, 20.61, 18.54, 17.05, null, null, null, null, null, null, null, null, null, null, null
Madagascar, 27.68, 27.76, 26.20, 26.71, 27.04, 27.43, 29.38, 28.62, 29.50, 34.88, 45.83, 21.00, 20.00, 15.00, 24.50, 18.50, 8.17, 22.75
Dominican Republic, 27.90, 27.90, 26.79, 26.76, 27.90, 27.31, 27.17, 28.34, 33.25, 26.13, 26.83, 18.00, 22.75, 12.75, 12.25, 6.75, 17.00, null
Mauritius, 28.00, 28.46, 26.45, 26.67, 27.69, 27.69, 27.69, 26.47, 17.00, 18.00, 14.00, 9.00, 8.50, 8.00, 7.50, 10.50, 7.25, 9.50
Niger, 28.25, 29.26, 27.40, 27.21, 24.62, 23.85, 23.59, 23.08, 2.50, 28.50, 48.50, 37.00, 25.50, 24.50, 13.00, 18.33, 15.75, 18.50
Bosnia and, 28.51, 29.02, 27.37, 27.83, 28.45, 27.51, 26.86, 26.86, 19.50, 13.50, 10.50, 8.00, 11.17, 5.00, 7.00, 3.67, 6.83, 12.50
Croatia, 28.51, 29.03, 28.94, 29.59, 27.91, 26.12, 26.82, 26.61, 23.33, 17.50, 17.17, 8.50, 12.50, 13.00, 12.83, 11.83, 16.50, 8.75
Georgia, 28.59, 28.98, 27.34, 27.76, 27.96, 27.70, 29.78, 30.09, 38.00, 27.00, 18.83, 31.25, 20.83, 21.00, 25.17, 27.50, 17.33, null
Armenia, 28.60, 28.98, 29.99, 30.38, 28.79, 28.43, 29.07, 28.04, 27.00, 27.50, 31.13, 22.75, 23.63, 25.50, 26.00, 23.50, 25.17, null
Poland, 28.65, 28.89, 26.59, 26.47, 23.89, 12.71, 11.03, 13.11, −0.67, 8.88, 9.50, 9.00, 18.50, 14.00, 12.50, 6.83, 6.17, 7.75
Seychelles, 28.66, 29.41, 30.17, 30.86, 30.60, 31.55, 31.68, 29.19, 25.00, 18.00, 16.00, 15.50, 33.00, 24.50, 17.00, 23.50, 26.75, 20.75
Argentina, 28.78, 28.30, 26.05, 25.07, 25.09, 26.11, 25.27, 25.67, 14.00, 16.35, 11.33, 14.08, 24.83, 17.30, 13.67, 21.33, 15.17, 12.00
Greece, 28.80, 29.08, 29.19, 30.89, 30.35, 31.01, 31.33, 28.46, 24.00, 19.00, 9.00, 7.50, 9.25, 8.00, 4.00, 7.00, 6.00, 5.00
Japan, 28.86, 29.36, 28.64, 29.44, 28.67, 26.95, 26.02, 25.17, −1.00, 2.50, 3.25, 6.50, 11.75, 12.50, 8.00, 10.00, 8.00, 7.50
Bhutan, 28.90, 29.81, 30.73, 30.73, 30.73, 32.65, 30.73, 28.42, 24.00, 17.75, 15.75, 15.50, 37.17, 25.00, 51.50, 55.83, 77.33, 90.75
